商品コード,カテゴリID
1,1
2,2
3,3
4,4
5,5
101011155,65
101011155,65
101011199,65
101011199,65
301000442,65
301483008,65
301483011,65
301483020,65
301483031,65
301483032,65
301483033,65
301483034,65
301483035,65
301483036,65
301483037,65
301483038,65
301483039,65
301483040,65
301483041,65
301483042,65
301483043,65
301483044,65
301483053,65
301483054,65
301483055,65
301483056,65
301483057,65
301483058,65
301483059,65
301483060,65
301483061,65
301483062,65
301483063,65
301483064,65
701000249,65
701000250,65
701000251,65
701000252,65
701000299,65
701000300,65
701000301,65
701000302,65
701000303,65
701001591,65
701001592,65
701001593,65
701001594,65
701001595,65
701001596,65
701001597,65
701001598,65
701001599,65
701001600,65
701001601,65
701001602,65
701001603,65
701001604,65
701001605,65
701001606,65
701001607,65
701001608,65
701001609,65
701001610,65
701001611,65
701001612,65
701001613,65
701001614,65
701001615,65
701001616,65
701001617,65
701001618,65
701001619,65
701001620,65
701001621,65
701001622,65
701001623,65
701001624,65
701001625,65
701001626,65
701001627,65
701001628,65
701001629,65
701001630,65
701001631,65
701001632,65
701001633,65
701001634,65
701001635,65
701001636,65
701001637,65
701001638,65
101410075,75
101410076,75
101410077,75
101410078,75
101433029,75
301000346,75
301000347,75
301433002,75
301433003,75
301433004,75
301433005,75
301433006,75
301433007,75
301433008,75
301433009,75
301433010,75
301433011,75
301433018,75
301433019,75
301433020,75
301433021,75
301433022,75
301433023,75
301433024,75
301433025,75
301433027,75
301433028,75
301433029,75
301433030,75
301433031,75
301433032,75
301433033,75
301433034,75
301433035,75
301433036,75
301433037,75
301433038,75
301433039,75
301433040,75
301433041,75
301433042,75
301433043,75
301433044,75
301433045,75
301433046,75
301433047,75
301433048,75
301433049,75
301433050,75
301433051,75
301433052,75
301478203,75
701000201,75
701000202,75
701000203,75
701000204,75
701000205,75
701000206,75
701000207,75
701000208,75
701000209,75
701002347,75
701002348,75
701002349,75
701002350,75
701002351,75
101000134,91
101000135,91
101000202,91
101410005,91
101410263,91
101410264,91
101410265,91
101471012,91
101471026,91
301000126,91
301000127,91
301000363,91
301000364,91
301000396,91
301000414,91
301471001,91
301471010,91
301471020,91
301471021,91
301471022,91
301471023,91
301471024,91
301471025,91
301471030,91
301471031,91
301471032,91
301471033,91
301471034,91
301471035,91
301471036,91
301471037,91
301471038,91
301471039,91
301471100,91
301471117,91
301471118,91
301471119,91
301471120,91
301471121,91
301471123,91
301471124,91
301471125,91
301471126,91
301471127,91
301471128,91
301471129,91
301471130,91
301471131,91
301471132,91
301471133,91
301471134,91
301471135,91
301471136,91
301471137,91
301471138,91
301471139,91
301471140,91
301471141,91
301471142,91
301471143,91
301471144,91
301471146,91
301471147,91
301471205,91
301471209,91
301471210,91
301471211,91
301471212,91
301471213,91
301471214,91
301471215,91
301471216,91
301471217,91
301471218,91
301471219,91
301471309,91
301471310,91
301471311,91
301471312,91
301471313,91
301471314,91
301471315,91
301471502,91
301471503,91
701000254,91
701000255,91
701000256,91
701000257,91
701000258,91
701000259,91
701000260,91
701000261,91
701000262,91
701000263,91
701000264,91
701000265,91
701001468,91
701001469,91
701001470,91
701001471,91
701001750,91
701001751,91
701001752,91
701001753,91
701001754,91
701001755,91
701001756,91
701001757,91
701001758,91
101410130,123
101410131,123
101410132,123
101410133,123
101410134,123
301000372,123
301000373,123
301418020,123
301481000,123
301481002,123
301481003,123
301481004,123
301481005,123
301481021,123
301481022,123
301481025,123
301481028,123
301481029,123
301481030,123
301481034,123
301481040,123
701000684,123
701000685,123
701000686,123
701000687,123
701000688,123
701000689,123
701000690,123
701000691,123
701000692,123
701000693,123
701000694,123
701000695,123
701000696,123
701000697,123
701000698,123
701000699,123
701000700,123
701000701,123
701000702,123
701000703,123
701000704,123
701000705,123
701000706,123
701000707,123
101000107,129
101000177,129
101410050,129
101410051,129
101410052,129
101410053,129
101410055,129
101410056,129
101410057,129
101410058,129
101410470,129
101412085,129
101412086,129
101412087,129
101412088,129
301000121,129
301000122,129
301000123,129
301000365,129
301000366,129
301000367,129
301000424,129
301000425,129
301025104,129
301411000,129
301411001,129
301411002,129
301411017,129
301411018,129
301411037,129
301411038,129
301411039,129
301411040,129
301411050,129
301411051,129
301411052,129
301411053,129
301411054,129
301411055,129
301411058,129
301411059,129
301411060,129
301411073,129
301411074,129
301411076,129
301411077,129
301411078,129
301411079,129
301411080,129
301411081,129
301411082,129
301411083,129
301411084,129
301411085,129
301411086,129
301411087,129
301411088,129
301411089,129
301411090,129
301412000,129
301412001,129
301412002,129
301412003,129
301412004,129
301412005,129
301412008,129
301412011,129
301412020,129
301412027,129
301412029,129
301412032,129
301412033,129
301412039,129
301412052,129
301412053,129
301412065,129
301412069,129
301412071,129
301412072,129
301412074,129
301412079,129
301412081,129
301412084,129
301412089,129
301412090,129
301412091,129
301412096,129
301412097,129
301412098,129
301412099,129
301412104,129
301412105,129
301412106,129
301412107,129
301412108,129
301412109,129
301412110,129
301412111,129
301412112,129
301412113,129
301412114,129
301412115,129
301412116,129
301412117,129
301412118,129
301412119,129
301412120,129
301412121,129
301412122,129
301412124,129
301412125,129
301412126,129
301412127,129
301412128,129
301412129,129
301412130,129
301412131,129
301412132,129
301412133,129
301412134,129
301412135,129
301412136,129
301412137,129
301412138,129
301412139,129
301412140,129
301412141,129
301412142,129
301412143,129
301412144,129
301412145,129
301412146,129
301412147,129
301412148,129
301412149,129
301412150,129
301412151,129
301412152,129
301412153,129
301412154,129
301412155,129
301412156,129
301412157,129
301412158,129
301412159,129
301412160,129
301412161,129
301412163,129
301412164,129
301412165,129
301412166,129
301412167,129
301412168,129
301412169,129
301412170,129
301412171,129
301431030,129
301431031,129
301431032,129
301431033,129
301431035,129
303042660,129
303042661,129
303044470,129
303044471,129
303046064,129
303047091,129
303051531,129
303051532,129
303051533,129
303051534,129
501013213,129
501025627,129
701000103,129
701000164,129
701000198,129
701000378,129
701000379,129
701000380,129
701000381,129
701000382,129
701000383,129
701000384,129
701000385,129
701000386,129
701000746,129
701000747,129
701000748,129
701000749,129
701000750,129
701000751,129
701000752,129
701000753,129
701000754,129
701000755,129
701000756,129
701000757,129
701000786,129
701000787,129
701000788,129
701000789,129
701000790,129
701000791,129
701000792,129
701000793,129
701000794,129
701000795,129
701000796,129
701000797,129
701000860,129
701000861,129
701000862,129
701000863,129
701000864,129
701000865,129
701000866,129
701000867,129
701000868,129
701000869,129
701000870,129
701000871,129
701000872,129
701000873,129
701000874,129
701000875,129
701000876,129
701000877,129
701000878,129
701000879,129
701000880,129
701000881,129
701000882,129
701000883,129
701001228,129
701001229,129
701001230,129
701001231,129
701001232,129
701001233,129
701001234,129
701001235,129
701001236,129
701001237,129
701001238,129
701001239,129
701001240,129
701001241,129
701001242,129
701001243,129
701001244,129
701001245,129
701001246,129
701001247,129
701001248,129
701001249,129
701001250,129
701001251,129
701001252,129
701001253,129
701001254,129
701001255,129
701001256,129
701001257,129
701001258,129
701001259,129
701001260,129
701001261,129
701001262,129
701001263,129
701001761,129
701001762,129
701001763,129
701001764,129
701001765,129